project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
Autonomous Delivery Drone System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,0.41,1,9,857727,17.77,7,AI,Incremental,Prototype,PG,3094,98,10,38.51,Low
Smart Healthcare Monitoring Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,1,1.12,8,1,142309,12.81,2,FinTech,Incremental,MVP,PG,1943,5,5,20.36,Low
Smart Healthcare Monitoring Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,4.58,10,7,7326105,2.26,1,E-commerce,Incremental,MVP,PG,2255,93,2,13.41,Low
Smart Healthcare Monitoring Platform,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,3,2.27,10,10,2519304,15.3,3,HealthTech,Incremental,Prototype,PhD,3228,14,3,18.34,Low
Personalized Nutrition Recommendation System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,4.12,8,1,6165045,8.24,8,AgriTech,Disruptive,Idea,PhD,987,14,1,7.63,Low
Online Event Management Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,4,1.0,3,4,4938607,21.46,6,HealthTech,Incremental,Idea,PG,4511,72,9,34.83,Low
Smart Healthcare Monitoring Platform,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,4.44,5,5,9923304,20.1,10,AgriTech,Disruptive,MVP,UG,3913,69,8,32.4,Low
Automated Financial Advisory System,"An event management platform that automates planning, scheduling, and coordination of events.",3,1.74,1,7,3382886,16.33,8,E-commerce,Incremental,Prototype,PhD,2509,87,9,34.41,Low
Sustainable Agriculture Analytics Tool,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,0.73,4,4,8546624,15.6,9,AI,Disruptive,Prototype,UG,2368,49,10,36.5,Low
Online Event Management Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,3,2.08,1,3,1244543,23.37,9,AgriTech,Incremental,MVP,PhD,3685,34,8,30.55,Low
Blockchain-Powered Digital Payments,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,1.69,8,8,602109,18.53,7,FinTech,Incremental,Idea,PhD,1249,24,2,14.99,Low
Blockchain-Powered Digital Payments,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,2.14,7,5,5063850,8.29,9,E-commerce,Disruptive,MVP,PhD,900,59,8,30.44,Low
Cloud-Based Business Intelligence Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,0.58,7,10,5555958,14.21,6,AI,Disruptive,Prototype,PG,1500,70,9,36.34,Low
IoT Smart Home Automation Solution,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,3,4.83,5,7,8411362,22.26,7,HealthTech,Disruptive,MVP,UG,241,60,7,30.25,Low
Smart Traffic Management System,"An event management platform that automates planning, scheduling, and coordination of events.",4,0.81,5,7,3985244,16.2,7,AgriTech,Incremental,Idea,PG,1818,33,5,22.5,Low
Sustainable Agriculture Analytics Tool,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,1.18,4,5,6128000,19.25,4,AgriTech,Incremental,Prototype,PG,82,65,4,19.85,Low
Virtual Reality Learning Environment,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,4.08,5,9,4812294,4.2,7,FinTech,Disruptive,Prototype,UG,604,27,9,32.58,Low
IoT Smart Home Automation Solution,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,2.14,1,2,1546914,7.03,7,HealthTech,Disruptive,Prototype,PhD,3300,37,7,24.05,Low
IoT Smart Home Automation Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,6,2.69,9,2,4016171,4.25,1,HealthTech,Incremental,MVP,UG,1238,11,4,16.37,Low
Fitness Tracking and Recommendation App,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,4.47,7,7,5606962,1.68,8,FinTech,Disruptive,Prototype,PG,4955,79,3,15.12,Low
Online Event Management Platform,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,2,0.76,5,7,552852,10.91,9,AI,Incremental,Idea,PhD,4306,4,6,23.86,Low
E-Learning Personalization Engine,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,2,0.95,8,6,1450549,24.09,3,HealthTech,Incremental,Prototype,PG,3805,26,4,21.54,Low
Autonomous Delivery Drone System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,0.36,7,3,5709059,15.0,7,AI,Incremental,MVP,PhD,4058,49,10,36.98,Low
AI Chatbot for Customer Service,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,3,3.52,9,10,3377272,9.49,4,FinTech,Incremental,Prototype,UG,4737,87,4,21.34,Low
AI Resume Screening Tool,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,2.29,10,6,5620795,20.28,3,HealthTech,Disruptive,Idea,PhD,4041,98,10,40.82,Medium
Sustainable Agriculture Analytics Tool,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,4.11,4,5,2845423,19.69,10,FinTech,Incremental,Prototype,PhD,3968,63,7,28.9,Low
Online Mental Health Support Platform,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,3.99,2,2,7915842,4.42,10,EdTech,Incremental,Idea,PhD,366,26,10,32.6,Low
Personalized Nutrition Recommendation System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,0.86,8,7,4382557,7.42,6,AI,Disruptive,MVP,UG,4103,97,3,16.92,Low
Automated Financial Advisory System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,1,2.86,7,8,3966450,21.2,2,AI,Incremental,Idea,PhD,4725,69,4,22.12,Low
Blockchain-Powered Digital Payments,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,0.19,3,2,6965992,21.28,4,AgriTech,Incremental,Idea,PG,4162,32,8,30.4,Low
AI Chatbot for Customer Service,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",3,0.64,7,3,166760,11.96,8,EdTech,Disruptive,Idea,PhD,2593,25,1,8.89,Low
Blockchain-Powered Digital Payments,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,0.64,2,7,6499012,5.6,2,AI,Disruptive,Prototype,PG,1046,59,5,20.0,Low
E-Learning Personalization Engine,An AI-based fraud detection system that identifies suspicious financial activities in real time.,2,1.88,7,10,9341651,13.11,9,AI,Disruptive,MVP,PhD,2458,47,2,14.66,Low
Online Event Management Platform,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,5,0.77,4,7,877834,2.36,1,EdTech,Incremental,Idea,UG,754,98,3,14.73,Low
AI-Based Crop Monitoring System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,5,4.26,1,5,1100525,23.39,9,EdTech,Disruptive,Prototype,UG,2965,10,2,12.68,Low
Automated Financial Advisory System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,5,2.89,10,9,3186755,19.35,9,AI,Incremental,Idea,PhD,4856,72,5,26.01,Low
Virtual Reality Learning Environment,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,5,1.22,1,9,9873786,18.12,8,AgriTech,Disruptive,Prototype,PhD,2213,29,4,19.2,Low
Cloud-Based Business Intelligence Platform,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,0.61,4,10,3722865,24.71,4,EdTech,Disruptive,Idea,PhD,3401,97,2,17.08,Low
AI Resume Screening Tool,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,4,3.01,9,5,1811155,10.05,7,FinTech,Disruptive,Idea,UG,3685,92,7,29.05,Low
Blockchain-Powered Digital Payments,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,3.53,5,4,6221626,20.77,7,AI,Incremental,Idea,PhD,2740,87,2,14.59,Low
Smart Waste Management Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,4.93,9,5,5348616,2.77,10,EdTech,Disruptive,Idea,UG,1140,62,8,29.99,Low
Virtual Reality Learning Environment,"An event management platform that automates planning, scheduling, and coordination of events.",4,4.28,9,4,2736363,15.31,5,AgriTech,Disruptive,Idea,PhD,4733,9,8,31.14,Low
Autonomous Delivery Drone System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,5,4.54,4,8,4435944,14.11,7,HealthTech,Incremental,MVP,UG,1781,60,3,16.62,Low
AI Resume Screening Tool,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,0.85,5,8,2381051,23.73,7,AI,Incremental,Idea,UG,4833,24,4,21.13,Low
AI-Powered Fraud Detection System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,3,3.79,8,5,2715829,21.24,7,FinTech,Disruptive,Prototype,UG,2479,30,7,29.75,Low
Blockchain-Powered Digital Payments,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,6,1.63,10,4,6230906,4.5,2,EdTech,Disruptive,Idea,PhD,574,73,10,36.56,Low
Automated Financial Advisory System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,3,0.37,5,3,6607980,2.16,1,E-commerce,Incremental,Prototype,PhD,1595,51,2,9.85,Low
AI-Based Crop Monitoring System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,4.82,10,6,8812690,1.64,9,HealthTech,Disruptive,Prototype,PG,718,65,2,12.43,Low
Digital Marketplace for Local Businesses,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,3,2.83,3,7,9333319,0.96,2,AI,Incremental,Idea,PhD,4114,57,10,34.33,Low
Autonomous Delivery Drone System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,5,1.99,9,7,8508558,24.99,2,EdTech,Incremental,Idea,UG,2949,9,4,21.98,Low
Online Event Management Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,1.2,7,4,9893190,6.28,8,FinTech,Disruptive,Prototype,PhD,3367,85,7,27.26,Low
Blockchain-Powered Digital Payments,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,3,1.18,8,9,9706671,23.87,8,AgriTech,Incremental,MVP,PG,1904,22,8,34.31,Low
Blockchain-Powered Digital Payments,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,3.04,1,3,8699582,15.75,8,E-commerce,Incremental,Idea,UG,3432,45,9,32.25,Low
AI Resume Screening Tool,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,4,3.13,5,3,9293796,24.52,6,FinTech,Disruptive,Idea,PG,3520,54,5,23.38,Low
Online Event Management Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,2.17,7,6,941835,18.24,5,HealthTech,Disruptive,MVP,UG,1888,15,9,34.85,Low
Fitness Tracking and Recommendation App,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,0.75,5,1,2374529,2.77,5,AgriTech,Incremental,MVP,UG,2806,34,8,27.03,Low
Online Event Management Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,1.29,6,4,9535375,7.38,10,FinTech,Incremental,Idea,UG,3697,94,4,18.36,Low
Cloud-Based Business Intelligence Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,3.34,2,1,1137662,16.09,8,EdTech,Disruptive,Idea,PG,3938,34,4,16.8,Low
Cloud-Based Business Intelligence Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",2,0.85,5,10,2077796,6.11,2,AgriTech,Incremental,Prototype,UG,976,70,5,22.12,Low
